#fileName	intercept	slope	chi2/ndof
20802	-0.0000234056	0.0000007722	1.9000982200
20803	-0.0000238476	0.0000007833	1.2847864518
20804	-0.0000237317	0.0000007761	1.6582287141
20805	-0.0000238629	0.0000007788	1.0407440737
20806	-0.0000237752	0.0000007732	1.5154018750
20807	-0.0000239879	0.0000007773	1.4031062514
20808	-0.0000239391	0.0000007765	2.5736174427
20809	-0.0000240486	0.0000007796	1.1783256750
20810	-0.0000240385	0.0000007763	1.6647455844
20811	-0.0000242403	0.0000007813	1.5548145088
20812	-0.0000221422	0.0000007592	1.6464754632
20813	-0.0000228147	0.0000007793	1.1258150490
20814	-0.0000228377	0.0000007771	2.6529485391
20815	-0.0000227966	0.0000007770	1.9586352757
20816	-0.0000230496	0.0000007830	1.2137339731
20817	-0.0000229018	0.0000007734	0.9294777901
20818	-0.0000230836	0.0000007805	2.2419559275
20819	-0.0000227611	0.0000007679	1.5365204467
20820	-0.0000230745	0.0000007766	1.4823553216
20821	-0.0000227298	0.0000007684	1.4497520223
20822	-0.0000241174	0.0000007809	1.4178441566
20823	0.0000026866	-0.0000000000	19.0417415362
20824	-0.0000236202	0.0000007608	2.1040175624
20825	-0.0000234951	0.0000007843	2.2458400397
20826	-0.0000243435	0.0000007797	1.2704466360
20827	-0.0000235781	0.0000007554	2.1420037001
20828	-0.0000236667	0.0000007547	1.7058174396
20829	-0.0000242060	0.0000007740	1.4993580818
20830	-0.0000238967	0.0000007616	1.6281625482
20831	-0.0000241735	0.0000007696	1.3335577872
20832	-0.0000225174	0.0000007647	1.2516094548
20833	-0.0000229282	0.0000007743	1.6812027874
20834	-0.0000227404	0.0000007658	1.1798560606
20835	-0.0000230015	0.0000007735	1.2936505290
20836	-0.0000230525	0.0000007720	1.2389811465
20837	-0.0000231931	0.0000007777	1.3161629863
20838	-0.0000228756	0.0000007639	2.2922068797
20839	-0.0000230235	0.0000007635	1.1071419604
20840	-0.0000229590	0.0000007639	1.6317924702
20841	-0.0000234193	0.0000007747	2.7239749418
20842	-0.0000237177	0.0000007822	1.6630238878
20843	0.0000015982	0.0000000000	3.9216026115
20844	-0.0000234084	0.0000007675	1.9822546186
20845	-0.0000235672	0.0000007722	1.1185977878
20846	-0.0000229516	0.0000007534	2.4935353051
20847	-0.0000237790	0.0000007757	1.1628184394
20848	-0.0000238635	0.0000007721	0.9974438429
20849	-0.0000237166	0.0000007697	1.4098891773
20850	-0.0000239197	0.0000007703	1.5723484957
20851	-0.0000240747	0.0000007778	1.2571283448
20852	-0.0000231963	0.0000007723	1.5271787149
20853	-0.0000226876	0.0000007549	1.0173086111
20854	-0.0000233058	0.0000007727	1.4518498055
20855	-0.0000234580	0.0000007753	1.9820753350
20856	-0.0000232382	0.0000007655	1.7598543112
20857	-0.0000235356	0.0000007755	1.7392959250
20858	-0.0000237325	0.0000007756	1.4982283643
20859	-0.0000238746	0.0000007802	0.9831170864
20860	-0.0000233088	0.0000007602	1.3628041058
20861	-0.0000241527	0.0000007837	1.4687347609
20862	-0.0000237290	0.0000007724	2.1455075562
20863	-0.0000239839	0.0000007790	1.9996388103
20864	-0.0000238924	0.0000007749	1.7262893008
20865	-0.0000241322	0.0000007788	1.1708214112
20866	-0.0000239529	0.0000007705	2.3724927978
20867	-0.0000242829	0.0000007830	1.4617172827
20868	-0.0000241085	0.0000007720	1.4827762809
20869	0.0004098938	-0.0000131031	inf
20870	-0.0000239380	0.0000007632	2.6404095430
20871	-0.0000240708	0.0000007651	1.1684181920
20872	-0.0000228296	0.0000007759	1.1395654166
20873	-0.0000226612	0.0000007664	1.1306808925
20874	-0.0000028832	-0.0000000000	13.1120689043
20875	-0.0000230534	0.0000007740	1.4781241334
20876	-0.0000235708	0.0000007895	1.6319972373
20877	-0.0000234770	0.0000007836	1.5361765246
20878	-0.0000229708	0.0000007657	1.3193552057
20880	-0.0000233763	0.0000007751	0.9627920852
20881	-0.0000240849	0.0000007963	2.4042080607
20882	-0.0000243505	0.0000007994	2.0790167674
20883	-0.0000242117	0.0000007932	2.6699256342
20884	-0.0000244851	0.0000007986	1.6944227422
20885	-0.0000242876	0.0000007946	1.3677311115
20886	-0.0000245025	0.0000007967	1.0148810121
20887	-0.0000242414	0.0000007883	1.2873865183
20888	-0.0000241617	0.0000007800	1.1485414668
20889	-0.0000239777	0.0000007763	1.5665396003
20890	-0.0000247831	0.0000007977	1.1832375741
20891	-0.0000175620	0.0000005954	1.1246393991
20892	-0.0000180017	0.0000005956	0.9930092771
20893	-0.0000154334	0.0000005231	1.1578245215
20894	-0.0000159696	0.0000005382	1.3993652389
20895	-0.0000161800	0.0000005444	1.7343806865
20896	-0.0000164946	0.0000005556	1.1562878296
20897	-0.0000172825	0.0000005811	0.8724861818
20899	-0.0000334610	0.0000011329	1.8385705544
20900	-0.0000268280	0.0000009045	1.7254475790
20901	-0.0000217618	0.0000007101	1.6282750348
20902	-0.0000200904	0.0000006523	1.8504952544
20903	-0.0000192261	0.0000006219	1.5205544714
20904	-0.0000182889	0.0000005899	2.0736432292
20905	-0.0000174120	0.0000005629	0.9992682044
20906	-0.0000166790	0.0000005377	1.5993179917
20907	-0.0000162560	0.0000005217	1.6473745900
20908	-0.0000154988	0.0000004964	1.6158817322
20909	-0.0000150161	0.0000004826	0.9919069931
20910	-0.0000145899	0.0000004704	1.9443732628
20911	-0.0000146669	0.0000004691	1.0488988299
20912	-0.0000137332	0.0000004382	1.8025475565
20913	-0.0000136769	0.0000004376	1.4890175325
20914	-0.0000134200	0.0000004274	2.0108232273
20915	-0.0000132486	0.0000004213	1.1806859214
20916	-0.0000134005	0.0000004237	1.1995047862
20917	-0.0000130777	0.0000004072	1.1031211834
20918	-0.0000137355	0.0000004132	1.0904273336
20919	-0.0000130816	0.0000003951	1.4399735523
